Date,Open,Adj Close,High,Low,Body Size,Upper Shadow,O/C Low Area,O/C High Area,Ratio,O/C > Last Year,O/C < Next Year,Higher > Last Year?,High > Next Year,Likely Gravestone
44943,134.8300018,135.3624878,137.2899933,134.1300049,0.532485962,1.927505493,0.349998474,0.963752747,2.753591281,FALSE,FALSE,FALSE,FALSE,FALSE
44944,136.8200073,134.6355896,138.6100006,135.0299988,2.184417725,3.974411011,-1,0,0,FALSE,FALSE,TRUE,TRUE,FALSE
44945,134.0800018,134.6953278,136.25,133.7700043,0.615325928,1.554672241,0.154998779,0.777336121,5.015111242,FALSE,FALSE,FALSE,FALSE,FALSE
44946,135.2799988,137.2842712,138.0200043,134.2200012,2.004272461,0.735733032,0.529998779,0.367866516,0.694089365,TRUE,FALSE,TRUE,FALSE,FALSE
44949,138.1199951,140.5105133,143.3200073,137.8999939,2.390518188,2.809494019,0.11000061,1.404747009,12.7703565,TRUE,FALSE,TRUE,TRUE,TRUE
44950,140.3099976,141.9244843,143.1600037,140.3000031,1.614486694,1.235519409,0.004997253,0.617759705,123.6198473,FALSE,FALSE,FALSE,TRUE,FALSE
44951,140.8899994,141.2573395,142.4299927,138.8099976,0.367340088,1.172653198,1.040000916,0.586326599,0.56377508,FALSE,FALSE,FALSE,FALSE,FALSE
44952,143.1699982,143.3484192,144.25,141.8999939,0.178421021,0.901580811,0.635002136,0.450790405,0.709903762,TRUE,FALSE,TRUE,FALSE,FALSE
44953,143.1600037,145.3100433,147.2299957,143.0800018,2.150039673,1.919952393,0.040000916,0.959976196,23.99885562,FALSE,FALSE,TRUE,TRUE,FALSE
44956,144.9600067,142.3925018,145.5500031,142.8500061,2.567504883,3.157501221,-1,0,0,FALSE,FALSE,FALSE,TRUE,FALSE
44957,142.6999969,143.677002,144.3399963,142.2799988,0.977005005,0.662994385,0.209999084,0.331497192,1.578564941,FALSE,FALSE,FALSE,FALSE,FALSE
44958,143.9700012,144.8121643,146.6100006,141.3200073,0.842163086,1.797836304,1.324996948,0.898918152,0.678430356,TRUE,FALSE,TRUE,FALSE,FALSE
44959,148.8999939,150.1792908,151.1799927,148.1699982,1.279296875,1.000701904,0.364997864,0.500350952,1.370832549,TRUE,FALSE,TRUE,FALSE,FALSE
44960,148.0299988,153.8436279,157.3800049,147.8300018,5.81362915,3.536376953,0.099998474,1.768188477,17.68215457,FALSE,FALSE,TRUE,TRUE,FALSE
44963,152.5700073,151.0853882,153.1000061,150.7799988,1.484619141,2.01461792,0.152694702,0.26499939,1.73548516,FALSE,FALSE,FALSE,FALSE,FALSE
44964,150.6399994,153.992981,155.2299957,150.6399994,3.352981567,1.237014771,-1,0,0,FALSE,FALSE,TRUE,TRUE,FALSE
44965,153.8800049,151.2745819,154.5800018,151.1699982,2.605422974,3.305419922,0.05229187,0.349998474,6.69317187,FALSE,FALSE,FALSE,TRUE,FALSE
44966,153.7799988,150.2290497,154.3300018,150.4199982,3.550949097,4.100952148,-1,0,0,FALSE,FALSE,FALSE,TRUE,FALSE
44967,149.4600067,150.5980377,151.3399963,149.2200012,1.138031006,0.741958618,0.120002747,0.370979309,3.091423485,FALSE,FALSE,FALSE,FALSE,FALSE
44970,150.9499969,153.4303131,154.2599945,150.9199982,2.480316162,0.829681396,0.01499939,0.414840698,27.65717192,TRUE,FALSE,TRUE,TRUE,TRUE
44971,152.1199951,152.782074,153.7700043,150.8600006,0.662078857,0.987930298,0.629997253,0.493965149,0.784075083,FALSE,FALSE,FALSE,FALSE,FALSE
44972,153.1100006,154.9062653,155.5,152.8800049,1.796264648,0.593734741,0.114997864,0.296867371,2.58150335,TRUE,FALSE,TRUE,FALSE,FALSE
44973,153.5099945,153.2906799,156.3300018,153.3500061,0.219314575,3.039321899,-1,0,0,FALSE,TRUE,TRUE,TRUE,FALSE
44974,152.3500061,152.1338501,153,150.8500061,0.216156006,0.866149902,0.641921997,0.324996948,0.50628729,FALSE,TRUE,FALSE,TRUE,FALSE
44978,150.1999969,148.0749512,151.3000031,148.4100037,2.125045776,3.22505188,-1,0,0,FALSE,FALSE,FALSE,TRUE,FALSE
44979,148.8699951,148.5037689,149.9499969,147.1600037,0.366226196,1.446228027,0.671882629,0.540000916,0.803713166,FALSE,FALSE,FALSE,FALSE,FALSE
44980,150.0899963,148.9924316,150.3399963,147.2400055,1.097564697,1.347564697,0.876213074,0.125,0.142659364,TRUE,TRUE,TRUE,TRUE,FALSE
44981,147.1100006,146.3097839,147.1900024,145.7200012,0.800216675,0.880218506,0.294891357,0.040000916,0.13564628,FALSE,FALSE,FALSE,FALSE,FALSE
44984,147.7100067,147.5164795,149.1699982,147.4499969,0.193527222,1.653518677,0.033241272,0.729995728,21.9605233,TRUE,TRUE,TRUE,TRUE,TRUE
44985,147.0500031,147.0078735,149.0800018,146.8300018,0.042129517,2.072128296,0.088935852,1.01499939,11.41271339,FALSE,TRUE,FALSE,TRUE,FALSE
44986,146.8300018,144.9136047,147.2299957,145.0099945,1.916397095,2.316390991,-1,0,0,FALSE,FALSE,FALSE,TRUE,FALSE
44987,144.3800049,145.5119781,146.7100067,143.8999939,1.131973267,1.198028564,0.240005493,0.599014282,2.495835717,FALSE,FALSE,FALSE,FALSE,FALSE
44988,148.0399933,150.6179962,151.1100006,147.3300018,2.57800293,0.492004395,0.354995728,0.246002197,0.692972276,TRUE,FALSE,TRUE,FALSE,FALSE
44991,153.7899933,153.4103699,156.3000031,153.4600067,0.379623413,2.889633179,-1,0,0,TRUE,FALSE,TRUE,TRUE,FALSE
44992,153.6999969,151.1864471,154.0299988,151.1300049,2.513549805,2.843551636,0.02822113,0.165000916,5.846715328,FALSE,FALSE,FALSE,TRUE,FALSE
44993,152.8099976,152.4529724,153.4700012,151.8300018,0.357025146,1.017028809,0.311485291,0.330001831,1.059445955,FALSE,FALSE,FALSE,FALSE,FALSE
44994,153.5599976,150.179184,154.5399933,150.2299957,3.380813599,4.360809326,-1,0,0,FALSE,FALSE,TRUE,TRUE,FALSE
44995,150.2100067,148.0948944,150.9400024,147.6100006,2.115112305,2.845108032,0.242446899,0.364997864,1.505475486,FALSE,FALSE,FALSE,FALSE,FALSE
44998,147.8099976,150.0595245,153.1399994,147.6999969,2.249526978,3.080474854,0.055000305,1.540237427,28.00416146,FALSE,FALSE,TRUE,FALSE,FALSE
44999,151.2799988,152.1737366,153.3999939,150.1000061,0.893737793,1.226257324,0.589996338,0.613128662,1.039207573,TRUE,FALSE,TRUE,TRUE,FALSE
45000,151.1900024,152.5726471,153.25,149.9199982,1.382644653,0.677352905,0.635002136,0.338676453,0.53334695,FALSE,FALSE,FALSE,FALSE,FALSE
45001,152.1600037,155.4248505,156.4600067,151.6399994,3.264846802,1.03515625,0.260002136,0.517578125,1.99066874,FALSE,FALSE,TRUE,FALSE,FALSE
45002,156.0800018,154.5771637,156.7400055,154.2799988,1.502838135,2.162841797,0.148582458,0.330001831,2.221001284,FALSE,FALSE,TRUE,FALSE,FALSE
45005,155.0700073,156.9706116,157.8200073,154.1499939,1.900604248,0.849395752,0.460006714,0.424697876,0.923242777,FALSE,FALSE,TRUE,FALSE,FALSE
45006,157.3200073,158.8454895,159.3999939,156.5399933,1.525482178,0.554504395,0.390007019,0.277252197,0.710890276,TRUE,FALSE,TRUE,FALSE,FALSE
45007,159.3000031,157.3994446,162.1399994,157.8099976,1.900558472,4.74055481,-1,0,0,FALSE,FALSE,TRUE,TRUE,FALSE
45008,158.8300018,158.4964447,161.5500031,157.6799927,0.333557129,3.05355835,0.408226013,1.36000061,3.331489338,FALSE,FALSE,FALSE,TRUE,FALSE
45009,158.8600006,159.8128357,160.3399963,157.8500061,0.952835083,0.527160645,0.504997253,0.263580322,0.521944071,TRUE,FALSE,FALSE,FALSE,FALSE
45012,159.9400024,157.8482056,160.7700043,157.8699951,2.091796875,2.921798706,-1,0,0,FALSE,FALSE,TRUE,TRUE,FALSE
45013,157.9700012,157.2199249,158.4900055,155.9799957,0.750076294,1.270080566,0.6199646,0.260002136,0.41938223,FALSE,FALSE,FALSE,FALSE,FALSE
45014,159.3699951,160.3314209,161.0500031,159.3500061,0.961425781,0.718582153,0.009994507,0.359291077,35.94885496,TRUE,FALSE,TRUE,FALSE,FALSE
45015,161.5299988,161.9170837,162.4700012,161.2700043,0.387084961,0.55291748,0.129997253,0.27645874,2.126650625,TRUE,FALSE,TRUE,FALSE,FALSE
